order_id,order_date,customer_id,product_id,quantity,unit_price_usd,unit_price,revenue_usd
1,2025-03-15,393,271,3,2.1,2.10 USD,6.3
2,2024-10-30,261,184,4,4.12,4.12 USD,16.48
3,2024-06-18,410,262,4,3.57,3.57 USD,14.28
4,2023-05-26,403,200,5,2.94,2.94 USD,14.7
5,2023-10-14,670,171,4,7.05,7.05 USD,28.2
6,2024-04-03,484,133,3,3.9,3.90 USD,11.7
7,2024-10-18,304,243,1,16.74,16.74 USD,16.74
8,2024-07-16,624,220,3,3.07,3.07 USD,9.21
9,2023-11-12,656,268,3,1.76,1.76 USD,5.28
10,2023-01-08,768,193,5,1.24,1.24 USD,6.2
11,2024-06-27,18,233,5,1.78,1.78 USD,8.9
12,2023-11-09,184,278,6,1.27,1.27 USD,7.62
13,2025-03-15,405,199,7,9.25,9.25 USD,64.75
14,2023-01-27,799,166,6,6.3,6.30 USD,37.8
15,2024-10-02,131,154,4,1.13,1.13 USD,4.52
16,2025-10-27,479,274,6,3.82,3.82 USD,22.92
17,2023-07-10,793,180,5,6.13,6.13 USD,30.65
18,2024-05-31,757,239,4,9.49,9.49 USD,37.96
19,2023-04-11,8,224,1,3.63,3.63 USD,3.63
20,2024-11-16,705,277,2,20.25,20.25 USD,40.5
21,2024-08-25,318,251,5,16.36,16.36 USD,81.8
22,2024-03-22,391,155,7,4.46,4.46 USD,31.22
23,2024-07-24,519,105,5,4.65,4.65 USD,23.25
24,2025-09-08,136,292,1,1.52,1.52 USD,1.52
25,2023-08-03,531,135,7,6.41,6.41 USD,44.87
26,2023-01-25,651,193,5,1.26,1.26 USD,6.3
27,2025-08-01,367,219,6,2.1,2.10 USD,12.6
28,2024-09-23,489,297,6,3.73,3.73 USD,22.38
29,2025-09-02,689,154,6,1.03,1.03 USD,6.18
30,2024-10-15,11,103,1,11.03,11.03 USD,11.03
31,2025-06-06,553,106,4,2.61,2.61 USD,10.44
32,2024-04-15,446,187,5,3.69,3.69 USD,18.45
33,2025-04-01,114,210,5,0.83,0.83 USD,4.15
34,2025-09-26,692,156,6,9.08,9.08 USD,54.48
35,2024-09-18,706,102,4,7.61,7.61 USD,30.44
36,2023-07-17,196,182,5,6.87,6.87 USD,34.35
37,2023-10-22,737,194,3,2.15,2.15 USD,6.45
38,2023-08-06,323,266,1,3.85,3.85 USD,3.85
39,2023-09-28,773,284,2,3.56,3.56 USD,7.12
40,2023-12-02,512,105,3,4.84,4.84 USD,14.52
41,2024-08-30,628,274,7,4.29,4.29 USD,30.03
42,2024-10-05,662,239,2,8.2,8.20 USD,16.4
43,2024-04-12,630,293,3,0.71,0.71 USD,2.13
44,2024-11-04,165,238,3,3.43,3.43 USD,10.29
45,2023-03-31,252,141,7,3.2,3.20 USD,22.4
46,2023-04-07,779,216,7,5.49,5.49 USD,38.43
47,2023-07-08,44,144,3,4.54,4.54 USD,13.62
48,2024-07-21,470,190,1,2.88,2.88 USD,2.88
49,2023-08-23,489,133,2,3.79,3.79 USD,7.58
50,2023-11-07,181,156,4,8.54,8.54 USD,34.16
51,2024-03-14,77,240,4,2.99,2.99 USD,11.96
52,2025-06-07,374,102,6,7.64,7.64 USD,45.84
53,2023-01-16,628,101,5,2.96,2.96 USD,14.8
54,2024-12-12,67,293,1,0.75,0.75 USD,0.75
55,2025-01-02,525,221,6,11.44,11.44 USD,68.64
56,2025-05-24,92,225,6,5.6,5.60 USD,33.6
57,2025-10-18,758,133,1,4.11,4.11 USD,4.11
58,2023-01-23,779,203,1,5.1,5.10 USD,5.1
59,2023-06-18,651,136,3,4.43,4.43 USD,13.29
60,2025-08-28,244,249,1,6.6,6.60 USD,6.6
61,2024-05-17,341,184,4,3.76,3.76 USD,15.04
62,2024-09-10,785,264,1,3.02,3.02 USD,3.02
63,2024-12-27,304,126,7,1.54,1.54 USD,10.78
64,2025-01-13,398,275,3,7.6,7.60 USD,22.8
65,2025-10-17,703,229,2,1.42,1.42 USD,2.84
66,2025-12-27,448,266,6,3.62,3.62 USD,21.72
67,2025-02-27,97,242,1,2.66,2.66 USD,2.66
68,2023-11-11,331,190,7,2.74,2.74 USD,19.18
69,2025-08-21,205,146,7,1.16,1.16 USD,8.12
70,2023-02-23,449,142,6,0.78,0.78 USD,4.68
71,2023-09-11,418,235,2,3.49,3.49 USD,6.98
72,2025-09-09,649,155,5,4.31,4.31 USD,21.55
73,2023-10-08,77,156,3,9.42,9.42 USD,28.26
74,2023-08-30,549,218,6,7.44,7.44 USD,44.64
75,2023-06-01,798,176,1,6.65,6.65 USD,6.65
76,2025-07-29,425,163,5,8.91,8.91 USD,44.55
